Ward,Native Born,Bohemian,English,German,Irish,Norwegian,Polish,Swedish
1,51.0,0.2,4.2,20.0,16.8,0.6,0.6,1.7
2,39.2,0.2,5.6,24.7,12.5,0.1,2.4,0.5
3,55.0,0.2,5.2,23.7,12.1,0.2,0.4,1.2
4,51.5,0.1,5.6,25.0,11.0,0.2,0.2,0.6
5,8.8,2.6,3.4,33.8,39.5,0.5,2.6,4.1
6,4.7,32.1,1.2,38.7,12.6,0.5,5.6,1.7
7,9.0,5.5,2.2,44.0,27.7,0.2,1.6,0.5
8,17.8,11.3,3.0,19.9,36.5,0.2,0.8,0.6
9,44.1,0.1,5.6,17.9,20.8,0.4,0.2,0.4
10,14.5,0.6,3.9,25.1,25.7,15.5,0.6,3.8
11,48.6,0.1,5.1,14.6,13.7,8.2,0.2,3.6
12,68.2,0.1,6.5,9.1,9.2,0.3,0.0,0.4
13,33.7,0.3,6.8,21.6,24.2,3.5,0.0,2.2
14,4.6,1.6,1.9,45.1,7.2,11.8,18.9,2.8
15,15.1,0.4,1.6,70.4,5.8,0.6,2.3,2.0
16,13.6,0.1,1.4,72.7,5.5,1.1,0.5,3.6
17,6.4,0.2,2.2,19.5,27.7,3.1,1.7,34.8
18,44.4,0.0,3.0,28.1,15.9,0.9,0.1,4.6
Total,23.2,4.6,3.3,34.0,18.5,3.0,3.8,3.8
