Working-Class Sector,Ethnic Origin,Earnings,N
Labor Aristocrat,Native born,673.81,52
Labor Aristocrat,British,783,16
Labor Aristocrat,German,710.88,17
Labor Aristocrat,Scandinavian,719.33,9
Labor Aristocrat,Irish,741.33,36
Labor Aristocrat,Bohemian,637.50,2
Labor Aristocrat,Other,704.00,1
Low-Status Skilled,Native born,545.04,29
Low-Status Skilled,British,486.25,4
Low-Status Skilled,German,478.03,31
Low-Status Skilled,Scandinavian,416.00,6
Low-Status Skilled,Irish,468.67,9
Low-Status Skilled,Bohemian,402.86,7
Low-Status Skilled,Other,450.00,1
Unskilled,Native born,438.08,12
Unskilled,British,420.00,1
Unskilled,German,351.92,13
Unskilled,Scandinavian,471.57,7
Unskilled,Irish,362.33,18
Unskilled,Bohemian,380.00,3
Unskilled,Other,260.63,8
